code,perrin_source,perrin_supp_source,serjeant_source
K40,"I. M. Klotz and D. M. Gruen. J. Am. Chem. Soc. 67, 843 (1945).","N.I. Krikova, G.M. Pisichenko, I.A. Savich and V.I. Spitsyn. Vestn. Mosk. Univ. Ser. II 22, 44 (1967); CA 69, 5697s.","H. C. Ko, W. F. O'Hara, T. Hu and L. G. Hepler, J. Am. Chem. Soc. 86, 1003 (1964)."
K41,"I. M. Klotz and W. C. L. Ming. J. Am. Chem. Soc. 75, 4159 (1953).","C.P. Kröger and W. Freiberg. Z. Chem. 5, 381 (1965).","W. L. Koltun, L. Ng and F. R. N. Gurd, J. Biol. Chem. 238, 1367 (1963)."
K41a,,"R.I. Kruglikova, S.V. Vasil’ev, L.A. Kudryukova and G.R. Kalinina. Zh. Obshch. Khim. 38, 1961 (1968).",
K42,"S. B. Knight, R. H. Wallick, and C. Balch. J. Am. Chem. Soc. 77, 2577 (1955).","E.J. Kuchinskas and Y. Rosen. Arch. Biochem. Biophys. 97, 370 (1962).","N. P. Komar and A. K. Khukhryanskii, Russ. J. Inorg. Chem. (Engl. Transl.) 11, 614 (1966)."
K43,"S. B. Knight, R. H. Wallick, and J. Bowen. J. Am. Chem. Soc. 76, 3780 (1954).","A.N. Kurtz and C. Niemann. J. Am. Chem. Soc. 83, 3309 (1961).","N. Konopik and W. Luf, Monatsh. Chem. 101, 1591 (1970)."
K44,"H. Kolbel. Z. Naturforsch. 3B, 442 (1948).","N.I. Kudryashova, N.V. Khromov-Borisov, M.N. Bobrova and T.A. Mikhailova. J. Gen. Chem. USSR (Engl. transl.) 33, 167 (1963).","J. Korbl and B. Kakac, Collect. Czech. Chem. Commun. 23, 889 (1958)."
K45,"I. M. Kolthoff. Rec. Trav. Chim. 43, ty (1924).","N.I. Kudryashova and N.V. Khromov-Borisov. Zh. Org. Khim. 2, 578 (1966); CA 65, 8716e.","I. M. Korenman, F. R. Sheyanova and Z. M. Gur'eva, Russ. J. Inorg. Chem. (Engl. Transl.) 11, 1485 (1966)."
K46,"I. M. Kolthoff. Rec. Trav. Chim. 44, 75 (1925).","S.G. Kuznetsov and E.V. Rozinskaya. Zh. Obshch. Khim. 33, 1570 (1963).","E. C. Kornfeld, R. G. Jones and T. V. Parke, J. Am. Chem. Soc. 71, 150 (1949)."
K47,"I. M. Kolthoff. Biochem. Z. 162, 289 ‘(1925).",,"I. K. Korobitsyna, L. S. Gurevich and I. V. Zerova, J. Org. Chem. USSR (Engl. Transl.) 4, 1949 (1968)."
K48,"I. M. Kolthoff. Ann. phys. (N.Y.) 8, 121 (1927).",,"B. H. Korsch and N. V. Riggs, Aust. J. Chem. 16, 709 (1963)."
K49,"I. M. Kolthoff. Chem. Weekblad. 24, 606 (1927).",,"H. Koshimura and T. Okubo, Anal. Chim. Acta 49, 67 (1970)."
K50,"I. M. Kolthoff. J. Am. Chem. Soc. 49, 1218 (1927).",,"G. M. Kosolapoff and R. F. Struck, J. Chem. Soc. 1957, 3739."
K51,"I. M. Kolthoff. J. Am. Chem. Soc. 50, 1604 (1928).",,"A. N. Kost, P. B. Terentev, L. A. Golovleva and A. A. Stolyarchuk, Khim.-Farm. Zh. 1, 3 (1967); CA 68, 29556a."
K52,"I. M. Kolthoff. J. Phys. Chem. 34, 1466 (1930).",,"G. Koyama and H. Umezawa, J. Antibiot., Ser. A 18, 175 (1965)."
K53,"I. M. Kolthoff and W. Bosch. Rec. Trav. Chim. 48, 37 (1929).",,"M. E. Krahl, J. Phys. Chem. 44, 449 (1940)."
K54,"I. M. Kolthoff and L. S. Guss. J. Am. Chem. Soc. 60, 2516 (1938).",,"D. N. Kramer, R. M. Gamson and J. M. Miller, J. Org. Chem. 24, 1742 (1959)."
K55,"W. L. Koltun, M. Fried, and F. R. N. Gurd. J. Am. Chem. Soc. 82, 233 (1960).",,"F. Krasovec, Croat. Chem. Acta 37, 107 (1965)."
K56,"F. Korte and H. Weitkamp. Ann. 622, 121 (1959).",,"F. Krasovec and J. Jan, Croat. Chem. Acta 35, 183 (1963)."
K57,"I. K. Korobitsyna, Y. K. Yuryev, and I. G. Khukova. Zh. Obshch. Khim. 27, 1654 (English transl.) (1957).",,"M. M. Kreevoy, B. E. Eichinger, F. E. Stary, E. A. Katz and S. Sellstedt, J. Org. Chem. 29, 1641 (1964)."
K58,"M. E. Krahl, A. K. Keltch, and G. H. A. Clowes. J. Pharmacol. Exptl. Therap. 68, 330 (1940).",,"M. M. Kreevoy, E. T. Harper, R. E. Duvall, H. S. Wilgus and L. T. Ditsch, J. Am. Chem. Soc. 82, 4899 (1960)."
K59,"H. A. Krebs and J. C. Speakman. J. Chem. Soc. 1945, 593.",,"S. U. Kreingold and E. A. Bozhevolnov, J. Anal. Chem. USSR (Engl. Transl.) 18, 818 (1963)."
K60,"P. Krumholz. J. Am. Chem. Soc. 71, 3654 (1949).",,"V. P. Kreiter and D. Pressman, Biochemistry 2, 97 (1963)."
K60a,,,"N. I. Krikova and G. M. Pisichenko, Khim. Geterotsikl. Soedin. 1967, 317; CA 68, 14051h."
K61,"P. Krumholz. J. Am. Chem. Soc. 73, 3487 (1951).",,"B. Krishna and E. V. Sundaram, Indian J. Chem. 6, 591 (1968)."
K62,"P. Krumholz. J. Phys. Chem. 60, 87 (1956).",,"G. G. Kryukova, Y. I. Turyan and A. V. Bondarenko, J. Gen. Chem. USSR (Engl. Transl.) 38, 2108 (1968)."
K63,"T. Kubota. J. Pharm. Soc. Japan 75, 1546 (1955); CA 50, 5374c.",,"W. Kuchen and H. Meyer, Z. Anorg. Allg. Chem. 333, 71 (1964)."
K64,"W. D. Kumler and P. P. T. Sah. J. Org. Chem. 18, 669 (1953).",,"L. Kugel and M. Halmann, J. Org. Chem. 32, 642 (1967)."
K65,"R. Kuhn and G. Moruzzi. Ber. 67B, 888 (1934).",,"T. Kulikowski, B. Zmudzka and D. Shugar, Acta Biochim. Pol. 16, 201 (1969)."
K65a,"H. Kuhn and W. Sperling. Experientia 16, 237 (1960).",,
K66,"R. Kuhn and A. Wassermann. Helv. Chim. Acta 11, 3 (1928).",,"J. Kumamoto and F. H. Westheimer, J. Am. Chem. Soc. 77, 2515 (1955)."
K67,"R. Kuhn and A. Wassermann. Helv. Chim. Acta 11, 79 (1928).",,"W. D. Kumler and J. J. Eiler, J. Am. Chem. Soc. 65, 2355 (1943)."
K68,"R. Kuhn and F. Zumstein. Ber. 59, 488 (1926).",,"S. K. Kundra and L. C. Thompson, J. Inorg. Nucl. Chem. 30, 1847 (1968)."
K69,"M. Kuna. U.S. At. Energy Comm. Rpt. ORNL-318 (May 10, 1949), quoted by W. E. Cohn, In J. Cellular Comp. Physiol. 38, Suppl. 1, 21 (1951).",,"J. L. Kurz and J. M. Farrar, J. Am. Chem. Soc. 91, 6057 (1969)."
K70,,,"J. L. Kurz and J. C. Harris, J. Org. Chem. 35, 3086 (1970)."
K71,,,"P. M. Kuznesof and W. L. Jolly, Inorg. Chem. 7, 2574 (1968)."
L1,"S. Lacroix. Anal. Chim. Acta 1, 260 (1947).","R.G. Lacoste and A.E. Martell. Inorg. Chem. 3, 881 (1964).","R. G. Lacoste, C. V. Christoffers and A. E. Martell, J. Am. Chem. Soc. 87, 2385 (1965)."
L1a,,,"C. K. Laird and M. A. Leonard, Talanta 17, 173 (1970)."
L2,"H. Ladenheim, E. M. Loebl, and H. Morawetz. J. Am. Chem. Soc. 81, 20 (1959).","S.C. Lahiri and S. Aditya. Z. Physik. Chem. (Frankfurt) 41, 173 (1964).","E. Lakanen, Suom. Kemistil. B 43, 226 (1970)."
L2a,,"J. Lakomy, A. Silhankova, M. Ferlesand O. Exner. Coll. Czech. Chem. Comm. 33, 1700 (1968).",
L3,"T. J. Lane and J. M. Daly. J. Am. Chem. Soc. 81, 2953 (1959).","D. Landini, G. Modena, P. Montanari, G. Scorrano and F. Taddei. Boll. Sci. Fac. Chim. Ind. Bologna 26, 325 (1968); CA 70, 114455c.","M. Laloi-Diard and M. Rubinstein, Bull. Soc. Chim. Fr. 1965, 3104."
L3a,,,"M. Laloi-Diard and P. Rumpf, Bull. Soc. Chim. Fr. 1961, 1645."
L4,"T. J. Lane and A. J. Kandathil. J. Am. Chem. Soc. 83, 3782 (1961).","D. Landini, G. Modena, G. Scorrano and F. Taddei. J. Am. Chem. Soc. 91, 6703 (1969).","F. J. Langmyhr and K. S. Klausen, Anal. Chim. Acta 29, 149 (1963)."
L5,"T. J. Lane and K. P. Quinlan. J. Am. Chem. Soc. 82, 2994 (1960).","C.A. Lane. J. Am. Chem. Soc. 86, 2521 (1964).","F. J. Langmyhr and A. R. Storm, Acta Chem. Scand. 12, 1461 (1961)."
L6,"T. J. Lane and A. Sam. J. Am. Chem. Soc. 83, 2223 (1961).","E. Laviron. Bull. Soc. Chim. France 1961, 2325.","P. O. Larsen and A. Kjaer, Acta Chem. Scand. 16, 142 (1962)."
L7,"T. J. Lane, A. Sam, and A. J. Kandathil. J. Am. Chem. Soc. 82, 4462 (1960).","b B.E. Leach and R.J. Angelici. J. Am. Chem. Soc. 91, 6296 (1969).","W. G. Laver, A. Neuberger and J. J. Scott, J. Chem. Soc. 1959, 1483."
L7,"T. J. Lane, A. Sam, and A. J. Kandathil. J. Am. Chem. Soc. 82, 4462 (1960).","A.R. Lawrence and L.N. Ferguson. J. Org. Chem. 25, 1220 (1960).","W. G. Laver, A. Neuberger and J. J. Scott, J. Chem. Soc. 1959, 1483."
L7a,,"B.E. Leach and R.J. Angelici. Inorg. Chem. 8, 907 (1969).",
L8,"T. J. Lane and J. W. Thompson. J. Am. Chem. Soc. 82, 4179 (1960).","R. Leberman and B.R. Rabin. Nature 185, 768 (1960).","P. D. Lawley and P. Brookes, J. Mol. Biol. 4, 216 (1962)."
L9,"W. G. Laver, A. Neuberger, and J. J. Scott. J. Chem. Soc. 1959, 1483.","A.M. Lecco and R.B. Saper. Glasnik Hem. Drustva. Beograd 25-26, 267 (1960); CA 59, 1195h.","J. E. Leader and M. W. Whitehouse, Biochem. Pharmacol. 15, 1379 (1966)."
L10,"S. J. Leach and H. Lindley. Australian J. Chem. 7, 71 (1954).","D.H. Lee. Daehan Hwahak Hwoejee 9, 33 (1965); CA 64, 5820f.","J. Le Coarer, M. Wone and A. Broche, Ann. Fac. Sci., Univ. Dakar 6, 25 (1961); CA 58, 6244f."
L11,"R. Leberman and B. R. Rabin. Trans. Faraday Soc. 55, 1660 (1959).","P. Leggate and G.E. Dunn. Can. J. Chem. 43, 1158 (1965).","D. H. Lee, Daehan Hwahak Hwoejee 9, 33 (1965); CA 64, 5820g."
L12,"T. S. Lee, I. M. Kolthoff, and D. L. Leussing. J. Am. Chem. Soc. 70, 2348 (1948).","G.R. Lenz and A.E. Martell. Biochem. 3, 745 (1964).","H. J. Lee and P. W. Liwiger, Biochemistry 7, 1427 (1968)."
L13,"C. L. Leese and G. M. Timmis. J. Chem. Soc. 1958, 4107.","G.R. Lenz and A.E. Martell. Biochem. 4, 750 (1965).","W. F. Lee, N. K. Shastri and E. S. Amis, Talanta 11, 685 (1964)."
L14,"F. B. Leffler, H. M. Spencer, and A. Burger. J. Am. Chem. Soc. 73, 2611 (1951).","N.J. Leonard and J.A. Deyrup. J. Am. Chem. Soc. 84, 2148 (1962).","L. J. Leeson, J. E. Krueger and R. A. Nash, Tetrahedron Lett. 1963, 1155."
L15,"H. Lemaire and H. J. Lucas. J. Am. Chem. Soc. 73, 5198 (1951).","N.J. Leonard and R.A. Laursen. Biochem. 4, 354 (1965).","P. Leggate and G. E. Dunn, Can. J. Chem. 43, 1158 (1965)."
L15a,,"H. Leonhardt, L. Gordon and R. Livingston. J. Phys. Chem. 75, 245 (1971).",
L16,"N. J. Leonard and K. M. Beck. J. Am Chem Soc. 70, 2504 (1948).","D.S. Letham, J.S. Shannon and I.R. McDonald. Proc. Chem. Soc. 1964, 230.","K. Lehtonen and L. A. Summers, Aust. J. Chem. 23, 1699 (1970)."
L17,"N. J. Leonard and A. G. Cook. J. Am. Chem. Soc. 81, 5627 (1959).","L.S. Levitt and B.W. Levitt. J. Phys. Chem. 74, 1812 (1970).","W. J. Le Noble, J. Am. Chem. Soc. 83, 3897 (1961)."
L18,"N. J. Leonard and J. A. Deyrup. J. Am. Chem. Soc. 84, 2148 (1962).","S. Lewin and D.A. Humphreys. J. Chem. Soc., B 1966, 210.","G. R. Lenz and A. E. Martell, Inorg. Chem. 4, 373 (1965)."
L19,"N. J. Leonard, R. C. Fox, M. Oki, and S. Chiavarelli. J. Am. Chem. Soc. 76, 630 (1954)","J.C. Lewis. Anal. Biochem. 14, 495 (1966).","F. L'Eplattenier, I. Murase and A. E. Martell, J. Am. Chem. Soc. 89, 837 (1967)."
L20,"N. J. Leonard and F. P. Hauck. J. Am. Chem. Soc. 79, 5279 (1957).","E.B. Lifshits, L.M. Yagupolsky, D.Y. Naroditskaya and E.S. Kozlova. Reakts. Sposobnost Org. Soedin. (Tartu) 6, 317 (1969).","H. J. Le Roux and K. F. Fouché, J. Inorg. Nucl. Chem. 32, 3059 (1970)."
L21,"N. J. Leonard, T. W. Milligan, and T. L. Brown. J. Am. Chem. Soc. 82, 4075 (1960).","E.B. Lifshits, N.S. Spasokukotskii, L.M. Yagupolsky, E.S. Kozlova, D.Y. Naroditskaya and I.I. Levkoev. Zh. Obshch. Khim. 38, 2025 (1968).","P. Lesfauries and P. Rumpf, Bull. Soc. Chim. Fr. 1950, 542."
L22,"N. J. Leonard and M. Oki. J. Am. Chem. Soc. 76, 3463 (1954).","M. Liler. J. Chem. Soc., B 1966, 205.","J. R. Leto and M. F. Leto, J. Am. Chem. Soc. 83, 2944 (1961)."
L23,"N. J. Leonard, P. D. Thomas, and V. W. Gash. J. Am. Chem. Soc. 77, 1552 (1955).","H. Lindley. Biochem. J. 82, 418 (1962).","R. Letters and A. M. Michelson, J. Chem. Soc. 1962, 71."
L23a,,"H. Lindqvist. Arkiv Kemi 16, 79 (1960); CA 54, 21950g.",
L24,"P. Lesfauries and P. Rumpf. Compt. Rend. 228, 1018 (1949).","W.F. Little, R.A. Berry and P. Kannan. J. Am. Chem. Soc. 84, 2525 (1962).","D. L. Leussing, J. Am. Chem. Soc. 80, 4180 (1958)."
L25,"P. A. Levene, L. W. Bass, and H. S. Simms. J. Biol. Chem. 70, 229 (1926).","J.S. Littler. Trans. Faraday Soc. 59, 2296 (1963).","D. L. Leussing and G. S. Alberts, J. Am. Chem. Soc. 82, 4458 (1960)."
L26,"P. A. Levene and H. S. Simms. J. Biol. Chem. 65, 519 (1925).","G.S. Litvinenko, V.I. Artyukhin, A.A. Andrussenko, P.V. Sokolov, V.V. Sosnova and M.N. Akimova. Reakts. Sposobnost Org. Soedin. (Tartu) 7, 960 (1970).","D. L. Leussing and K. S. Bai, Anal. Chem. 40, 575 (1968)."
L27,"P. A. Levene, H. S. Simms, and L. W. Bass. J. Biol. Chem. 70, 243 (1926).","L.M. Litvinenko, V.A. Dadali, A.K. Volovin and E.V. Titov. Reakts. Sposobnost Org. Soedin. (Tartu) 3, 75 (1966).","D. L. Leussing and E. M. Hanna, J. Am. Chem. Soc. 88, 693 (1966)."
L28,"P. A. Levene, H. S. Simms, and M. H. Pfaltz. J. Biol. Chem. 61, 445 (1924).","L.M. Litvinenko, V.A. Dadali and L.V. Savchenko. Reakts. Sposobnost Org. Soedin. (Tartu) 4, 459 (1967).","D. L. Leussing and E. M. Hanna, J. Am. Chem. Soc. 88, 696 (1966)."
L29,"J. Levisalles. Bull. Soc. Chim. France 1957, 1009.","L.M. Litvinenko, E.V. Titov, R.S. Cheshko, M.V. Shchavinskaya and V.I. Rybachenko. Zh. Org. Khim. 2, 1857 (1966); CA 66, 54919n.","D. L. Leussing and J. Jayne, J. Phys. Chem. 66, 426 (1962)."
L30,"M. Levy. J. Biol. Chem. 109, 361 (1935).","W.T. Liu and Y. Tang. Hua Hsueh Hsueh Pao 31, 118 (1965); CA 63, 5005b.","D. L. Leussing, R. E. Laramy and G. S. Alberts, J. Am. Chem. Soc. 82, 4826 (1960)."
L31,"G. P. Lewis. Brit. J. Pharmacol. 9, 488 (1954).","J. Llopis and D. Ordonnez. J. Electroanal. Chem. 5, 129 (1963); CA 58, 7434a.","D. L. Leussing and D. C. Schultz, J. Am. Chem. Soc. 86, 4846 (1964)."
L32,"E. S. Lewis and M. D. Johnson. J. Am. Chem. Soc. 81, 2070 (1959).","J. Llopis and A. Vallin. J. Electroanal. Chem. 12, 422 (1966); CA 66, 41173q.","R. Y. Levina, P. A. Gembitskii, L. P. Guseva and P. K. Agasyan, J. Gen. Chem. USSR (Engl. Transl.) 34, 144 (1964)."
L33,"S. Lewin and N. W. Tann. J. Chem. Soc. 1962, 1466.","F.A. Long and J. Schulze. J. Am. Chem. Soc. 86, 327 (1964).","M. Levy and P. J. Magoulas, J. Am. Chem. Soc. 84, 1345 (1962)."
L34,"N. C. Li and M. C. M. Chen. J. Am. Chem. Soc. 80, 5678 (1958).","J.M. Los, R.F. Rekker and C.H.T. Tonsbeek. Rec. Trav. Chim. 86, 609 (1967).","S. Lewin and M. A. Barnes, J. Chem. Soc. 1966, 478."
L35,"N. C. Li, T. L. Chu, C. T. Fujii, and J. M. White. J. Am. Chem. Soc. 77, 859 (1955).","P. Love, R.B. Cohen and R.W. Taft. J. Am. Chem. Soc. 90, 2455 (1968).","S. Lewin and N. W. Tann, J. Chem. Soc. 1962, 1466."
L36,"N. C. Li and E. Doody. J. Am. Chem. Soc. 72, 1891 (1950).","P. Love, R.B. Cohen and R.W. Taft. J. Am. Chem. Soc. 90, 2455 (1968), quoting unpublished measurements by R.M. Izatt.","E. S. Lewis and M. D. Johnson, J. Am. Chem. Soc. 81, 2070 (1959)."
L37,"N. C. Li and E. Doody. J. Am. Chem. Soc. 74, 4184 (1952).","S. Lukkari and M. Palonen. Suomen Kemistilehti B 41, 225 (1968); CA69, 52379s.","G. A. L'Heureux and A. E. Martell, J. Inorg. Nucl. Chem. 28, 481 (1966)."
L38,"N. C. Li, E. Doody, and J. M. White. J. Am. Chem. Soc. 79, 5859 (1957).","B. Lüning. Acta Chem. Scand. 14, 521 (1960).","N. C. Li, P. Tang and R. Mathur, J. Phys. Chem. 65, 1074 (1961)."
L39,"N. C. Li, E. Doody, and J. M. White. J. Am. Chem. Soc. 80, 5901 (1958).","W.D. Luz, S. Fallab and H. Erlenmeyer. Helv. Chim. Acta 127, 1114 (1955).","D. Lichtenberg, F. Bergmann and Z. Neiman, J. Chem. Soc. (C) 1971, 1676."
L40,"N. C. Li, O. Gawron, and G. Bascuas. J. Am. Chem. Soc. 76, 225 (1954).",,"D. Lichtenberg, F. Bergmann and Z. Neiman, J. Chem. Soc., Perkin Trans. 2 1972, 1676."
L41,"N. C. Li and R. A. Manning. J. Am. Chem. Soc. 77, 5225 (1955).",,"D. Lichtenberg, F. Bergmann and Z. Neiman, J. Chem. Soc., Perkin Trans. 1 1973, 2445."
L42,"N. C. Li, G. W. Miller, N. Solony, and B. T. Gillis. J. Am. Chem. Soc. 82, 3737 wae",,"D. Lichtenberg, F. Bergmann, M. Rahat and Z. Neiman, J. Chem. Soc., Perkin Trans. 1 1972, 2950."
L43,"N. C. Li, P. Tang, and R. Mathur. J. Phys. Chem. 65, 1074 (1961).",,"T. H. Lin, J. Chinese Chem. Soc. (Taiwan) 9, 220 (1962); CA 60, 7509b."
L44,"N. C. Li, J. M. White, and E. Doody. J. Am. Chem. Soc. 76, 6219 (1954).",,"Y. Linaberg, O. Nieland, A. Veis and G. Vanag, Dokl. Chem. (Engl. Transl.) 154, 184 (1964)."
L45,"N. C. Li, J. M. White, and R. L. Yoest. J. Am. Chem. Soc. 78, 5218 (1956).",,"J. Linabergs, E. Grens, G. Vanags and A. Veiss, Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1963, 325; CA 60, 9128e."
L46,"E. Lieber, S. P. Patinkin, and H. H. Tao. J. Am. Chem. Soc. 73, 1792 (1951).",,"J. Linabergs and A. Veis, Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1962, 213; CA 58, 8443f."
L47,"C. R. Lindegren and C. Niemann. J. Am. Chem. Soc. 71, 1504 (1949).",,"B. J. Lindberg, Acta Chem. Scand. 24, 2852 (1970)."
L48,"K. Linderstrom-Lang and C. F. Jacobsen. J. Biol. Chem. 137, 443 (1941).",,"J. J. Lindberg and C. G. Nordstrom, Acta Chem. Scand. 17, 2346 (1963)."
L49,"R. H. Linnell. J. Am. Chem. Soc. 76, 1391 (1954).",,"J. J. Lindberg, C. G. Nordstrom and R. Lauren, Suom. Kemistil. B 35, 182 (1962)."
L50,"R. H. Linnell. J. Org. Chem. 25, 290 (1960).",,"J. J. Lindberg, F. Odeyemi and K. Penttinen, Suom. Kemistil. B 41, 237 (1968)."
L51,"W. H. Linnell and F. Perks. J. Chem. Soc. 1960, 1036.",,"F. Lindstrom and H. Diehl, Anal. Chem. 32, 1123 (1960)."
L52,"E. Lippert and H. Prigge. Z. Elektrochem. 64, 662 (1960).",,"C. L. Liotta, K. H. Leavell and D. F. Smith, J. Phys. Chem. 71, 3091 (1967)."
L53,"A. M. Liquori and A. Ripamonti. Gazz. Cham Ital. 85, 578 (1955).",,"C. L. Liotta and D. F. Smith, Chem. Commun. 1968, 416."
L54,"N. G. Lordi and J. E. Christian. J. Am. Pharm. Assoc., Sci. Ed. 45, 300 (1956).",,"F. Lipmann and L. C. Tuttle, Arch. Biochem. 31, 373 (1947)."
L55,"H. S. Loring, H. W. Bortner, L. W. Levy, and M. L. Hammell. J. Biol. Chem. 196, 807 (1952).",,"M. N. Lipsett, J. Biol. Chem. 240, 3975 (1965)."
L56,"E. Lorz, L. P. Albro, and R. Baltzly. J. Am. Chem. Soc. 73, 483 (1951).",,"A. M. Liquori and A. Ripamonti, Ricerca Sci. 25, 1132 (1955); CA 50, 7086h."
L57,"E. Lorz and R. Baltzly. J. Am. Chem. Soc. 71, 3992 (1949).",,"E. P. Lira, J. Heterocycl. Chem. 6, 955 (1969)."
L58,"E. Lorz and R. Baltzly. J. Am. Chem. Soc. 73, 93 (1951).",,"G. J. Litchfield and G. Shaw, J. Chem. Soc. (C) 1971, 817."
L59,"J. R. Lotz, B. P. Block, and W. CG. Fernelius. J. Phys. Chem. 63, 541 (1959).",,"D. Litchinsky, N. Purdie, M. B. Tomson and W. D. White, Anal. Chem. 41, 1726 (1969)."
L60,"T. M. Lowry and W. v. Lloyd. J. Chem. Soc. 1932, 1626.",,"C. Liteanu, Acad. rep. populare Romine (Cluj), Studii cercetari stiint. 3, 76 (1952); CA 50, 11775h."
L61,"R. F. Lumb and A. E. Martell. J. Phys. Chem. 57, 690 (1953).",,"A. K. Livshits, A. V. Glembotskii and S. M. Gurvich, Tsvet. Metal. 41, 19 (1968); CA 69, 80926u."
L62,"P. O. Lumme. Ann. Acad. Sci. Fennicae Ser. A, II, No. 68, (1955).",,"L. N. Lomakina and I. P. Alimarin, Vestn. Mosk. Univ., Ser. II, Khim. 20, 58 (1965); CA 64, 7426e."
L63,"P. O. Lumme. Suomen Kemistilehti 30B, 168 (1957); CA 52, 3514d.",,"F. A. Long and P. Ballinger, Electrolytes, Proc. Intern. Symp., Trieste, Yugoslavia 1959, 152 (Publ. 1962); CA 61, 10098i."
L64,"P. O. Lumme. Suomen Kemistilehti 32B, 153 (1959).",,"J. L. Longridge and F. A. Long, J. Am. Chem. Soc. 90, 3088 (1968)."
L65,"P. O. Lumme. Suomen Kemistilehti 32B, 157 (1959).",,"N. G. Lordi and E. M. Cohen, Anal. Chim. Acta 25, 281 (1961)."
L66,"H. Lunden. Z. Physik. Chem. 54, 532 (1906).",,"K. D. Louise, Trans. Faraday Soc. 56, 1633 (1960)."
L67,"A. K. Lunn and R. A. Morton. Analyst 77, 718 (1952).",,"D. A. Lown, H. R. Thirsk and W. F. K. Wynne-Jones, Trans. Faraday Soc. 66, 51 (1970)."
L68,"B. M. Lynch, R. K. Robins, and C. C. Cheng. J. Chem. Soc. 1958, 2973.",,"S. Lukkari, K. Paakkonen and E. Huttunen, Farm. Aikak. 79, 28 (1970); CA 74, 16270b."
L69,,,"P. O. Lumme, Suom. Kemistil. B 29, 220 (1956)."
L70,,,"P. O. Lumme, Suom. Kemistil. B 29, 223 (1956)."
L71,,,"P. O. Lumme, Suom. Kemistil. B 30, 176 (1957)."
L72,,,"P. O. Lumme, Suom. Kemistil. B 30, 194 (1957)."
L73,,,"P. Lumme, Suom. Kemistil. B 33, 87 (1960)."
L74,,,"P. Lumme and N. Seppalainen, Suom. Kemistil. B 35, 123 (1962)."
L75,,,"W. Lund and E. Jacobsen, Acta Chem. Scand. 19, 1783 (1965)."
L76,,,"B. Luning, Acta Chem. Scand. 14, 321 (1960)."
L77,,,"S. J. Lyle and S. J. Naqvi, J. Inorg. Nucl. Chem. 28, 2993 (1966)."
L78,,,"B. M. Lynch, R. K. Robins and C. C. Cheng, J. Chem. Soc. 1958, 2973."
M1,"C. M. McCay and C. L. A. Schmidt. J. Gen. Physiol. 9, 333 (1926).","W.A.E. McBryde. Can. J. Chem. 45, 2093 (1967).","A. F. Mabrouk and L. R. Dugan, J. Am. Oil Chemists' Soc. 38, 9 (1961); CA 55, 6121h."
M2,"R. D. McCoy and D. F. Swinehart. J. Am. Chem. Soc. 76, 4708 (1954).","W.A.E. McBryde, D.A. Brisbin and H. Irving. J. Chem. Soc. 1962, 5245.","A. McAuley and G. H. Nancollas, Trans. Faraday Soc. 56, 1165 (1960)."
M3,"W. K. McEwen. J. Am. Chem. Soc. 58, 1124 (1936).","D.H. McDaniel and M. Ozcan. J. Org. Chem. 33, 1922 (1968).","A. McAuley and G. H. Nancollas, J. Chem. Soc. 1961, 2215."
M3,"W. K. McEwen. J. Am. Chem. Soc. 58, 1124 (1936).","b C.M. McEwen, G. Sasaki and D.C. Jones. Biochem. 8, 3963 (1969).","A. McAuley and G. H. Nancollas, J. Chem. Soc. 1961, 2215."
M3a,,"C.M. McEwen, G. Sasaki and D.C. Jones. Biochem. 8, 3952 (1969).",
M4,"S. P. McGlynn. J. Phys. Chem. 62, 351 (1958).","S. Machida and K. Hattori. Yuki Gosei Kagaku Kyokai Shi 25, 324 (1967); CA 67, 64763s.","E. T. McBee, W. F. Marzluff and O. R. Pierce, J. Am. Chem. Soc. 74, 444 (1952)."
M5,"G. H. McIntyre, B. P. Block, and W. C. Fernelius. J. Am. Chem. Soc. 81, 529 (1929).","A.F. McKay and M.E. Kreling. Can. J. Chem. 40, 1160 (1962).","W. A. E. McBryde, Can. J. Chem. 46, 2385 (1968)."
M5a,,"J.H. Markgraf and W.L. Scott. Chem. Commun. 1967, 296.",
M6,"D. Mackay. Trans. Faraday Soc. 57, 712 (1961).","J.C. Martin and R.G. Smith. J. Am. Chem. Soc. 86, 2252 (1964).","W. A. E. McBryde, Analyst (London) 94, 337 (1969)."
M7,"R. O. McLaren and D. F. Swinehart. J. Am. Chem. Soc. 73, 1822 (1951).","K. Matsumoto and H. Rapoport. J. Org. Chem. 33, 552 (1968).","W. A. E. McBryde and G. F. Atkinson, Can. J. Chem. 39, 510 (1961)."
M8,"C. P. McNally. J. Am. Chem. Soc. 48, 1003 (1926).","H.V. Maulding and M.A. Zoglio. J. Pharm. Sci. 59, 700 (1970).","W. A. E. McBryde, J. L. Rohr, J. S. Penciner and J. A. Page, Can. J. Chem. 48, 2574 (1970)."
M9,"D. Magrath and J. N. Phillips. J. Chem. Soc. 1949, 1940.","T.G. Melentova and L.A. Pavlova. Zh. Obshch. Khim. 35, 1739 (1965).","K. S. McCallum and W. D. Emmons, J. Org. Chem. 21, 367 (1956)."
