code,perrin_source,perrin_supp_source,serjeant_source
A55,"R. A. Alberty, R. M. Smith, and R. M. Bock. J. Biol. Chem. 193, 425 (1951).","G. Atkinson and J.E. Bauman. Inorg. Chem. 1, 900 (1962).","G. Anderegg, Helv. Chim. Acta 50, 2333 (1967)."
A56,"E. J. Alford, H. Irving, H. S. Marsh, and K. Schofield. J. Chem. Soc. 1952, 3009.","F. Aufauvre, M. Dantonnet and M.L. Dondon. Bull. Soc. Chim. France 1965, 3566.","G. Anderegg and F. L'Eplattenier, Helv. Chim. Acta 47, 1067 (1964)."
A57,"E. J. Alford and K. Schofield. J. Chem. Soc. 1953, 1811.","U. Avico. Rend. Ist. Super. Sanita 26, 1024 (1963); CA 61, 11361b.","G. Anderegg, F. L'Eplattenier and G. Schwarzenbach, Helv. Chim. Acta 46, 1400 (1963)."
A58,"K. A. Allan, J. Cymerman-Craig, and A. A. Diamantis. J. Chem. Soc. 1954, 234,",,"G. Anderegg, F. L'Eplattenier and G. Schwarzenbach, Helv. Chim. Acta 46, 1409 (1963)."
A59,"J. B. Allison and R. M. Hixon. J. Am. Chem. Soc. 50, 168 (1928).",,"D. G. Anderson, G. G. Hammes and F. G. Walz, Biochemistry 7, 1637 (1968)."
A60,"H. R. Almond, R. J. Kerr, and C. Niemann. J. Am. Chem. Soc. 81, 2856 (1959).",,"E. Anderson and T. H. Fife, J. Am. Chem. Soc. 95, 6437 (1973)."
A61,"D. J. Alner and R. C. Lansbury. J. Chem. Soc. 1961, 3169.",,"R. G. Anderson and G. Nickless, Anal. Chim. Acta 39, 469 (1967)."
A62,"D. J. Alner and A. G. Smeeth. J. Chem. Soc. 1958, 4207.",,"T. Ando, Bull. Chem. Soc. Jpn. 35, 1395 (1962)."
A63,"R. J. L. Andon, J. D. Cox, and E. F. G. Herington. Trans. Faraday Soc. 50, 918 (1954).",,"T. Ando, Bull. Chem. Soc. Jpn. 36, 1593 (1963)."
A64,"A. C. Andrews, T. D. Lyons, and T. D. O’Brien. J. Chem. Soc. 1962, 1776.",,"T. Ando and K. Ueno, Inorg. Chem. 4, 375 (1965)."
A65,"S. Andrews and C. L. A. Schmidt. J. Biol. Chem. 73, 651 (1927).",,"A.C. Andrews, T.D.Lyons and T.D.O’Brien, J. Chem. Soc. 1962, 1776."
A66,"R. B. Angier and W. V. Curran. J. Org. Chem. 26, 2129 (1961).",,"K. P. Ang, J. Phys. Chem. 62, 1109 (1958)."
A67,"S. J. Angyal and C. L. Angyal. J. Chem. Soc. 1952, 1461.",,"K. P. Ang, J. Chem. Soc. 1959, 3822."
A68,"S. J. Angyal and S. R. Jenkin. Australian J. Sci. Res. 3A, 461 (1950).",,"P. J. Antikainen, Suom. Kemistil. B 43, 31 (1970); CA 72, 78255t."
A69,"S. J. Angyal and W. K. Warburton. J. Chem. Soc. 1951, 2492.",,"P. J. Antikainen and H. Oksanen, Acta Chem. Scand. 22, 2867 (1968)."
A70,"A. M. Anthony-Barbier and P. Rumpf. Bull. Soc. Chim. France 1959, 1474.",,"P. J. Antikainen and V. M. K. Rossi, Suom. Kemistil. B. 36, 132 (1963)."
A71,"W. L. F. Armarego. J. Chem. Soc. 1962, 561.",,"P. J. Antikainen and K. Tevanen, Suom. Kemistil. B 35, 224 (1962)."
A72,W. L. F. Armarego. Unpublished data.,,"P. J. Antikainen, M. Viro and L. R. Salhstrom, Suom. Kemistil. B 42, 178 (1969); CA 70, 118667w."
A73,"F. Arnall. J. Chem. Soc. 117, 835 (1920).",,"P. A. Argabright and B. L. Phillips. J. Heterocycl, Chem. 7, 999 (1970)."
A74,"E. M. Arnett and C. Y. Wu. J. Am. Chem Soc. 82, 4999 (1960).",,"J. Armand, Bull. Soc. Chim. Fr. 1966, 882."
A75,"E. M. Arnett and C. Y. Wu. J. Am. Chem Soc. 82, 5660 (1960).",,"W. L. F. Armarego and B. A. Milloy, J. Chem. Soc., Perkin Trans. 1 1973, 2814."
A76,"E. M. Arnett and C. Y. Wu. J. Am. Chem Soc. 84, 1680 (1962).",,"J. McD. Armstrong, Biochim. Biophys. Acta 86, 194 (1964)."
A77,"E. M. Arnett and C. Y. Wu. J. Am. Chem Soc. 84, 1684 (1962).",,"R. Arnaud, Bull. Soc. Chim. Fr. 1967, 4541."
A78,"E. M. Arnett, C. Y. Wu, J. N. Anderson, and R. D. Bushick. J. Am. Chem. Soc. 84, 1674 (1962).",,"R. Arnold, S. Ticktin, G. Monseair and A. M. Stephen, J. Chem. Soc. 1963, 5810."
A79,"H. Arnold, N. Brock, and H. J. Hohorst. Arzneimittel-Forsch. 7, 735 (1957); CA 52, 5748c.",,"K. I. Aspila, S. J. Joris, and C. L. Chakrabarti, J. Phys. Chem. 74, 3625 (1970)."
A80,"L. Avedikian and J.-C. Pariaud. Compt. Rend. 249, 1222 (1959).",,"V. T. Athavale, L. H. Prabhu and D. G. Vartak. J. Inorg. Nucl. Chem. 28, 1237 (1966)."
A81,"T. Ayrapaa. Svensk Kem. Tidskr. 62, 135 (1950); CA 44, 10462b.",,"B. K. Avinashi, C. D. Dwivedi and S. K. Banerji. J. Inorg. Nucl. Chem., 32, 2641 (1970)."
A82,,,"N. N. Aylward, J. Chem. Soc. B 1967, 401."
A83,,,"J. Aznarez Alduan, Rev. Acad. Science. Exact. Fis.-Quim. Nat. Zaragoza 15, 41 (1960); CA 59, 1549h."
Aa,,"A. Aboul-Seoud and I.A.S. Mansour. Bull. Soc. Chim. 79, 617 (1970).",
B1,"A. L. Bacarella, E. Grunwald, H. P. Marshall, and E. L. Purlee. J. Org. Chem. 20, 747 (1955).","J. Badoz-Lambling and G.Demange-Guérin. Bull. Soc. Chim. France 1964, 1354.","S. P. Bag, Q. Fernando and H. Freiser, Inorg. Chem. 1, 887 (1962)."
B2,"E. Baciocchi and G. Illuminati. Gazz. Chim. Ital. 87, 981 (1957).","L.I. Bagal, M.S. Pevzner and V.A. Lopyrev. Khim. Geterotsikl. Soedin., Akad. Nauk Latv. SSSR 1966,440; CA 675, 12204h.","S. P. Bag, Q. Fernando and H. Freiser, Anal. Chem. 35, 719 (1963)."
B3,"E. Baciocchi, G. Illuminati, and G. Marino. J. Am. Chem. Soc. 80, 2270 (1958).","L. Balazs and E. Pungor. Mikochim. Acta 1962, 309.","J. T. Bahr, R. E. Cathou and G. G. Hammes, J. Biol. Chem. 240, 3372 (1965)."
B4,"G. Baddeley, J. Chadwick, and H. T. Taylor. J. Chem. Soc. 1954, 2405.","J. Bankovskis, J. Asaks and A. Ievins. Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1966, 533; CA 67, 68919v.","K. Balachandran and S. K. Banerji, J. Inorg. Nucl. Chem. 32, 3333 (1970)."
B5,"G. M. Badger, R. G. Buttery, and G. E. Lewis. J. Chem. Soc. 1954, 1888.","J. Bankovskis, P. Bockans and A. Ievins. Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1966, 291; CA 65, 17781e.","W. G. Baldwin and D. R. Stranks, Aust. J. Chem. 21, 603 (1968)."
B6,"C. O. Badgett, A. Eisner, and H. A. Walens. J. Am. Chem. Soc. 74, 4096 (1952).","J. Bankovskis, M. Buka, G. Mezaraups, A. Ievins and M. Abolina. Latv. PSR Zinat. Akad. Vestis. Kim. Ser. 1967, 243; CA 68, 100261h.","P. Ballinger and F. A. Long, J. Am. Chem. Soc. 81, 1050 (1959)."
B7,"H. Baggesgaard-Rasmussen and I. Martins. Dansk Tidsskr. Farm. 3, 197 (1929); CA 24, 1272.","J. Bankovskis, L.M. Chera and A. Ievins. Zh. Analit. Khim. 19, 414 (1964).","P. Ballinger and F. A. Long, J. Am. Chem. Soc. 81, 2347 (1959)."
B8,"R. Baltzly, S. Du Breuil, W. S. Ide, and E. Lorz. J. Org. Chem. 14, 775 (1949).","J. Bankovskis, J. Cirule and A. Ievins. Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1963, 285; CA 60, 6354e.","P. Ballinger and F. A. Long, J. Am. Chem. Soc. 82, 795 (1960)."
B9,"D. Bandyapadhaya, N. N. Ghosh, and P. Ray. J. Indian Chem. Soc. 29, 157 (1952).","J. Bankovskis, J. Cirule and A. Ievins. Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1963, 313; CA 60, 6354g.","S. Balt and E. Van Dalen, Anal. Chim. Acta 27, 188 (1962)."
B10,"W. G. Barb. J. Chem. Soc. 1955, 2564.","J. Bankovskis, D. Zaruma and A. Ievins. Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1965, 169, 287; CA 63, 11310b.","M. A. Bambenek and R. T. Pflaum, Inorg. Chem. 2, 289 (1963)."
B11,"G. Bardinet and M. Metayer. Compt. Rend: Soc. Biol. 226, 490 (1948).","J. Bankovskis, D. Zaruma, G. Mezaraups, J. Asaks and A. Ievins. Latv. PSR Zinat. Akad. Vestis. Kim. Ser. 1966, 173; CA 65, 13650h.","A. Banerjee and A. K. Dey, Anal. Chim. Acta 42, 473 (1968)."
B12,"C. Barkenbus and P. S. Landis. J. Am. Chem. Soc. 70, 684 (1948).","C.V. Banks and R.I. Bystroff. J. Am. Chem. Soc. 81, 6153 (1959).","A. Banerjee and A. K. Dey, J. Inorg. Nucl. Chem. 30, 995 (1968)."
B13,G. B. Barlin. Unpublished data.,"R. Barbucci, P. Paoletti and A. Vacca. J. Chem. Soc., A 1970, 2202.","A. Banerjee and A. K. Dey, J. Inorg. Nucl. Chem. 30, 3134 (1968)."
B14,"R. B. Barlow and J. T. Hamilton. Brit. J. Pharmacol. 18, 510 (1962).","V.F. Barkovskii and M.Z. Kharkover. Dokl. Akad. Nauk SSSR 153, 837 (1963).","A. Banerjee, S. Mandal, T. Singh and A. K. Dey, Indian J. Chem. 7, 733 (1969)."
B15,"R. B. Barlow and H. R. Ing. J: Chem. Soc. 1950, 713.","G.B. Barlin. J. Chem. Soc. 1964, 2150.","L. Banford and W. J. J. Geary, J. Chem. Soc. 1964, 378."
B16,"E. S. G. Barron. J. Biol. Chem. 121, 313 (1937).","G.B. Barlin. J. Chem. Soc. 1965, 2260.","J. Bankovskis, J. Asaks and A. Ievins, Latv. PSR Zinat. Akad. Vestis, Kim. Ser. 1966, 533; CA 67, 68919v."
B17,"P. Bartels. Z. Physik. Chem. N. F. 9, 74 (1956).","G.B. Barlin. J. Chem. Soc., B 1966, 285.","J. Bankovskis, M. Buka, G. Mezaraups, A. Ievins and M. Abolina. Latv. PSR Zinat. Akad. Vestis. Kim. Ser. 1967, 243; CA 68, 100261h."
B18,"P. D. Bartlett and J. D. McCollum. J. Am. Chem. Soc. 78, 1441 (1956).","G.B. Barlin. J. Chem. Soc., B 1967, 641.","C. V. Banks and A. B. Carlson, Anal. Chim. Acta 7, 291 (1952)."
B19,"K. N. Bascombe and R. P. Bell. J. Chem. Soc. 1959, 1096.","G.B. Barlin. J. Chem. Soc., B 1967, 954.","C. V. Banks, J. P. LaPlante and J. J. Richard, J. Org. Chem. 23, 1210, (1958)."
B20,"F. Basolo and Y. T. Chen. J. Am. Chem. Soc. 76, 953 (1954).",G.B. Barlin. Unpublished data.,"C. V. Banks and R. S. Singh, J. Am. Chem. Soc. 81, 6159 (1959)."
B21,"F. Basolo and R. K. Murmann. J. Am. Chem. Soc. 74, 2373 (1952).","G.B. Barlin and W.V. Brown. J. Chem. Soc., B 1967, 648.","C. V. Banks and J. Zimmerman, J. Org. Chem. 21, 1439 (1956)."
B22,"F. Basolo and R. K. Murmann. J. Am. Chem. Soc. 74, 5243 (1952).","G.B. Barlin and W.V. Brown. J. Chem. Soc., B 1967, 736.","F. Barbulescu, G. Mincu-Diaconescu and D. A. Isaescu, Rev. Roumaine Chim. 10, 599 (1965); Studii Cercetari Chim. 13, 633 (1965); CA 64, 9538e."
B23,"F. Basolo, R. K. Murmann, and Y. T. Chen. J. Am. Chem. Soc. 75, 1478 (1953).","G.B. Barlin and W.V. Brown. J. Chem. Soc., B 1968, 1435.","T. J. Bardos and T. I. Kalman, J. Pharm. Sci. 55, 606 (1966)."
B24,,"G.B. Barlin and N.B. Chapman. J. Chem. Soc. 1965, 3017.","F. Baroncelli and G. Grossi, J. Inorg. Nucl. Chem. 27, 1085 (1965)."
B25,"A. C. Batchelder and C. L. A. Schmidt. J. Phys. Chem. 44, 880 (1940).","G.B. Barlin and W. Pfleiderer. Chem. Ber. 102, 4032 (1969).","W. Bartok, R. H. Hartman and P. J. Lucchesi, Photochem. Photobiol. 4, 499 (1965)."
B26,"A. C. Batchelder and C. L. A. Schmidt. J. Phys. Chem. 44, 893 (1940).","G.B. Barlin and W. Pfleiderer. J. Chem. Soc., B 1971.","M. Bartusek, Collect. Czech. Chem. Commun. 32, 116 (1967)."
B27,"R. G. Bates and G. F. Allen. J. Res. Natl. Bur. Std. 64A, 343 (1960).","G.B. Barlin and A.C. Young. J. Chem. Soc., B 1971.","M. Bartusek, Collect. Czech. Chem. Commun. 32, 757 (1967)."
